Date,Open,High,Low,Close,Volume,O/C,H/C,L/C,reportedEPS,estimatedEPS,surprise,surprisePercentage,rEPS/C,estEPS/C,surEPS/C,sP/C
1/11/2024,186.5400,187.0500,183.6200,185.5900,49128400,1.00512,1.0079,0.9894,1.46,1.39,0.07,5.036,0.0079,0.0075,0.0004,0.0271
1/10/2024,184.3500,186.4000,183.9200,186.1900,46792900,0.99012,1.0011,0.9878,1.46,1.39,0.07,5.036,0.0078,0.0075,0.0004,0.0270
1/9/2024,183.9200,185.1500,182.7300,185.1400,42841800,0.99341,1.0001,0.9870,1.46,1.39,0.07,5.036,0.0079,0.0075,0.0004,0.0272
1/8/2024,182.0900,185.6000,181.5000,185.5600,59144500,0.98130,1.0002,0.9781,1.46,1.39,0.07,5.036,0.0079,0.0075,0.0004,0.0271
1/5/2024,181.9900,182.7600,180.1700,181.1800,62303300,1.00447,1.0087,0.9944,1.46,1.39,0.07,5.036,0.0081,0.0077,0.0004,0.0278
1/4/2024,182.1500,183.0900,180.8800,181.9100,71983600,1.00132,1.0065,0.9943,1.46,1.39,0.07,5.036,0.0080,0.0076,0.0004,0.0277
1/3/2024,184.2200,185.8800,183.4300,184.2500,58414500,0.99984,1.0088,0.9955,1.46,1.39,0.07,5.036,0.0079,0.0075,0.0004,0.0273
1/2/2024,187.1500,188.4400,183.8900,185.6400,82488700,1.00813,1.0151,0.9906,1.46,1.39,0.07,5.036,0.0079,0.0075,0.0004,0.0271
12/29/2023,193.9000,194.4000,191.7300,192.5300,42628800,1.00712,1.0097,0.9958,1.46,1.39,0.07,5.036,0.0076,0.0072,0.0004,0.0262
12/28/2023,194.1400,194.6600,193.1700,193.5800,34049900,1.00289,1.0056,0.9979,1.46,1.39,0.07,5.036,0.0075,0.0072,0.0004,0.0260
12/27/2023,192.4900,193.5000,191.0900,193.1500,48087700,0.99658,1.0018,0.9893,1.46,1.39,0.07,5.036,0.0076,0.0072,0.0004,0.0261
12/26/2023,193.6100,193.8900,192.8300,193.0500,28919300,1.00290,1.0044,0.9989,1.46,1.39,0.07,5.036,0.0076,0.0072,0.0004,0.0261
12/22/2023,195.1800,195.4100,192.9700,193.6000,37122800,1.00816,1.0093,0.9967,1.46,1.39,0.07,5.036,0.0075,0.0072,0.0004,0.0260
12/21/2023,196.1000,197.0800,193.5000,194.6800,46482500,1.00729,1.0123,0.9939,1.46,1.39,0.07,5.036,0.0075,0.0071,0.0004,0.0259
12/20/2023,196.9000,197.6800,194.8300,194.8300,52242800,1.01062,1.0146,1.0000,1.46,1.39,0.07,5.036,0.0075,0.0071,0.0004,0.0258
12/19/2023,196.1600,196.9500,195.8900,196.9400,40714100,0.99604,1.0001,0.9947,1.46,1.39,0.07,5.036,0.0074,0.0071,0.0004,0.0256
12/18/2023,196.0900,196.6300,194.3900,195.8900,55751900,1.00102,1.0038,0.9923,1.46,1.39,0.07,5.036,0.0075,0.0071,0.0004,0.0257
12/15/2023,197.5300,198.4000,197.0000,197.5700,128256700,0.99980,1.0042,0.9971,1.46,1.39,0.07,5.036,0.0074,0.0070,0.0004,0.0255
12/14/2023,198.0200,199.6200,196.1600,198.1100,66831600,0.99955,1.0076,0.9902,1.46,1.39,0.07,5.036,0.0074,0.0070,0.0004,0.0254
12/13/2023,195.0900,198.0000,194.8500,197.9600,70404200,0.98550,1.0002,0.9843,1.46,1.39,0.07,5.036,0.0074,0.0070,0.0004,0.0254
12/12/2023,193.0800,194.7200,191.7200,194.7100,52696900,0.99163,1.0001,0.9846,1.46,1.39,0.07,5.036,0.0075,0.0071,0.0004,0.0259
12/11/2023,193.1100,193.4900,191.4200,193.1800,60943700,0.99964,1.0016,0.9909,1.46,1.39,0.07,5.036,0.0076,0.0072,0.0004,0.0261
12/8/2023,194.2000,195.9900,193.6700,195.7100,53377300,0.99228,1.0014,0.9896,1.46,1.39,0.07,5.036,0.0075,0.0071,0.0004,0.0257
12/7/2023,193.6300,195.0000,193.5900,194.2700,47477700,0.99671,1.0038,0.9965,1.46,1.39,0.07,5.036,0.0075,0.0072,0.0004,0.0259
12/6/2023,194.4500,194.7600,192.1100,192.3200,41089700,1.01108,1.0127,0.9989,1.46,1.39,0.07,5.036,0.0076,0.0072,0.0004,0.0262
12/5/2023,190.2100,194.4000,190.1800,193.4200,66628400,0.98340,1.0051,0.9832,1.46,1.39,0.07,5.036,0.0075,0.0072,0.0004,0.0260
12/4/2023,189.9800,190.0500,187.4500,189.4300,43389500,1.00290,1.0033,0.9895,1.46,1.39,0.07,5.036,0.0077,0.0073,0.0004,0.0266
